date,BTC-USD,fng_value,confidence
2021-07-06,34235.1953125,20,0.6509
2021-07-07,33855.328125,28,0.6383
2021-07-08,32877.37109375,20,0.6361
2021-07-09,33798.01171875,20,0.6287
2021-07-10,33520.51953125,20,0.641
2021-07-11,34240.1875,20,0.628
2021-07-12,33155.84765625,25,0.6258
2021-07-13,32702.025390625,20,0.6236
2021-07-14,32822.34765625,21,0.6315
2021-07-15,31780.73046875,20,0.61
2021-07-16,31421.5390625,22,0.614
2021-07-17,31533.068359375,15,0.607
2021-07-18,31796.810546875,19,0.611
2021-07-19,30817.83203125,24,0.6168
2021-07-20,29807.34765625,19,0.5878
2021-07-21,32110.693359375,10,0.5921
2021-07-22,32313.10546875,21,0.6066
2021-07-23,33581.55078125,23,0.6004
2021-07-24,34292.4453125,22,0.6209
2021-07-25,35350.1875,27,0.6263
2021-07-26,37337.53515625,26,0.6344
2021-07-27,39406.94140625,32,0.6585
2021-07-28,39995.90625,50,0.6813
2021-07-29,40008.421875,50,0.6911
2021-07-30,42235.546875,53,0.7034
2021-07-31,41626.1953125,60,0.7107
2021-08-01,39974.89453125,60,0.7089
2021-08-02,39201.9453125,48,0.6976
2021-08-03,38152.98046875,48,0.6987
2021-08-04,39747.50390625,42,0.6771
2021-08-05,40869.5546875,50,0.6895
2021-08-06,42816.5,52,0.6938
2021-08-07,44555.80078125,69,0.7091
2021-08-08,43798.1171875,74,0.7119
2021-08-09,46365.40234375,65,0.7097
2021-08-10,45585.03125,71,0.7241
2021-08-11,45593.63671875,70,0.7186
2021-08-12,44428.2890625,70,0.72
2021-08-13,47793.3203125,70,0.7183
2021-08-14,47096.9453125,76,0.7399
2021-08-15,47047.00390625,71,0.7454
2021-08-16,46004.484375,72,0.737
2021-08-17,44695.359375,72,0.7303
2021-08-18,44801.1875,73,0.7079
2021-08-19,46717.578125,70,0.7139
2021-08-20,49339.17578125,70,0.7325
2021-08-21,48905.4921875,78,0.7469
2021-08-22,49321.65234375,76,0.7452
2021-08-23,49546.1484375,79,0.7546
2021-08-24,47706.1171875,79,0.737
2021-08-25,48960.7890625,73,0.7325
2021-08-26,46942.21875,75,0.7323
2021-08-27,49058.66796875,71,0.7338
2021-08-28,48902.40234375,78,0.7363
2021-08-29,48829.83203125,72,0.7417
2021-08-30,47054.984375,73,0.7303
2021-08-31,47166.6875,73,0.7222
2021-09-01,48847.02734375,71,0.7191
2021-09-02,49327.72265625,74,0.7292
2021-09-03,50025.375,74,0.7361
2021-09-04,49944.625,72,0.7419
2021-09-05,51753.41015625,73,0.7477
2021-09-06,52633.53515625,79,0.7555
2021-09-07,46811.12890625,79,0.7467
2021-09-08,46091.390625,47,0.7197
2021-09-09,46391.421875,45,0.708
2021-09-10,44883.91015625,46,0.7077
2021-09-11,45201.45703125,31,0.7038
2021-09-12,46063.26953125,32,0.7052
2021-09-13,44963.07421875,44,0.7126
2021-09-14,47092.4921875,30,0.7051
2021-09-15,48176.34765625,49,0.7011
2021-09-16,47783.359375,53,0.706
2021-09-17,47267.51953125,48,0.7086
2021-09-18,48278.36328125,50,0.7103
2021-09-19,47260.21875,53,0.7155
2021-09-20,42843.80078125,50,0.7052
2021-09-21,40693.67578125,27,0.6665
2021-09-22,43574.5078125,21,0.6563
2021-09-23,44895.09765625,27,0.6806
2021-09-24,42839.75,33,0.6801
2021-09-25,42716.59375,28,0.6699
2021-09-26,43208.5390625,27,0.6627
